,state,action_space,reward,Q,action
7858,[36 39],d,-0.1,-0.24571125000000002,1
7859,[37 39],l,-0.1,-0.240485,3
7860,[37 40],l,-0.1,-0.25200938671875006,3
7861,[37 41],r,-0.1,-0.2666733046875,2
7862,[37 40],r,-0.1,-0.26915962578125,2
7863,[37 39],l,-0.1,-0.2836467240234375,3
7864,[37 40],l,-0.1,-0.28433459960937507,3
7865,[37 41],l,-0.1,-0.28093599218750004,3
7866,[37 42],r,-0.1,-0.292857908984375,2
7867,[37 41],r,-0.1,-0.3044584839453125,2
7868,[37 40],r,-0.1,-0.28828068867187506,2
7869,[37 39],u,-0.1,-0.27579325781249997,0
7870,[36 39],d,-0.1,-0.296962591015625,1
7871,[37 39],u,-0.1,-0.30746323958984373,0
7872,[36 39],l,-10,-7.619566610683593,3
7873,[36 39],l,-10,-8.92934991602539,3
7874,[36 39],u,-0.1,-0.29467506382812503,0
7875,[35 39],l,-0.1,-0.28506866835937505,3
7876,[35 40],l,-0.1,-0.275085703125,3
7877,[35 41],l,-0.1,-0.25914375000000006,3
7878,[35 42],u,-10,-7.5958640625000005,0
7879,[35 42],l,-0.1,-0.2692258593750001,3
7880,[35 43],r,-0.1,-0.28597831250000005,2
7881,[35 42],u,-10,-8.908676750000001,0
7882,[35 42],r,-0.1,-0.27977984375000003,2
7883,[35 41],r,-0.1,-0.28285098476562504,2
7884,[35 40],r,-0.1,-0.29761708261718756,2
7885,[35 39],d,-0.1,-0.31666976895703125,1
7886,[36 39],u,-0.1,-0.3256184326757813,0
